recipe_id,avg_rating,total_ratings,rating_stddev
3,4.0000,1,0
4,2.0000,1,0
5,3.0000,1,0
7,3.0000,1,0
10,1.0000,1,0
13,4.0000,1,0
14,2.0000,1,0
19,3.0000,1,0
20,3.0000,1,0
22,4.0000,1,0
24,3.0000,1,0
25,5.0000,1,0
26,3.0000,1,0
30,4.0000,1,0
31,5.0000,1,0
34,5.0000,1,0
37,5.0000,1,0
42,3.0000,1,0
45,2.0000,1,0
48,2.0000,1,0
52,4.0000,2,0
54,3.5000,2,1.5
55,1.0000,1,0
57,1.0000,1,0
59,5.0000,1,0
64,4.0000,1,0
67,4.0000,1,0
68,3.0000,1,0
71,4.0000,1,0
72,4.0000,1,0
75,1.0000,1,0
76,3.0000,1,0
77,5.0000,1,0
78,3.0000,1,0
82,4.0000,1,0
86,5.0000,1,0
87,1.5000,2,0.5
91,3.0000,1,0
96,1.0000,1,0
97,4.0000,2,1
99,2.0000,1,0
102,5.0000,1,0
110,3.5000,2,0.5
112,4.0000,1,0
117,1.5000,2,0.5
122,1.0000,1,0
125,4.0000,2,0
128,1.0000,1,0
129,1.0000,1,0
132,2.0000,1,0
134,2.0000,1,0
135,4.5000,2,0.5
136,1.5000,2,0.5
137,1.0000,1,0
139,5.0000,1,0
144,2.0000,2,1
145,1.5000,2,0.5
146,1.0000,1,0
149,4.0000,1,0
150,5.0000,1,0
153,1.0000,1,0
157,5.0000,1,0
160,1.0000,1,0
163,1.0000,1,0
167,2.0000,1,0
169,3.0000,2,1
182,4.0000,1,0
183,4.0000,1,0
185,2.0000,1,0
188,5.0000,1,0
191,4.0000,1,0
196,1.0000,1,0
201,5.0000,1,0
202,4.6667,3,0.4714045207910316
205,4.0000,1,0
208,4.0000,1,0
215,5.0000,1,0
216,3.0000,1,0
217,2.0000,1,0
222,3.0000,1,0
224,4.5000,2,0.5
225,3.0000,2,2
229,2.0000,1,0
231,4.3333,3,0.4714045207910316
232,3.0000,2,0
233,1.0000,1,0
236,3.0000,1,0
237,2.0000,1,0
240,4.0000,1,0
244,2.5000,2,1.5
245,5.0000,1,0
247,1.0000,1,0
254,1.0000,1,0
261,3.0000,1,0
263,1.0000,1,0
266,2.0000,1,0
267,2.0000,1,0
270,5.0000,1,0
272,1.5000,2,0.5
273,1.0000,1,0
275,1.6667,3,0.9428090415820634
278,2.0000,1,0
279,3.0000,2,2
283,4.0000,2,1
284,4.5000,2,0.5
285,5.0000,1,0
288,1.0000,1,0
289,1.0000,1,0
291,5.0000,1,0
292,1.0000,1,0
294,2.0000,1,0
295,1.0000,1,0
297,4.0000,1,0
298,5.0000,1,0
300,3.0000,1,0
302,2.0000,1,0
303,5.0000,1,0
304,3.0000,1,0
306,4.0000,1,0
307,3.0000,1,0
309,3.0000,1,0
310,1.0000,1,0
311,2.0000,2,1
313,4.0000,1,0
314,5.0000,1,0
318,5.0000,1,0
323,4.0000,1,0
324,3.0000,1,0
325,5.0000,1,0
327,1.0000,1,0
329,1.0000,1,0
331,2.0000,1,0
335,4.0000,1,0
336,3.5000,2,1.5
339,4.0000,2,0
341,2.0000,1,0
342,5.0000,1,0
343,3.5000,2,0.5
344,1.0000,1,0
348,4.0000,1,0
349,3.3333,3,1.699673171197595
350,1.0000,1,0
357,2.3333,3,1.247219128924647
358,4.0000,2,0
359,1.0000,1,0
362,4.0000,1,0
365,2.0000,1,0
367,5.0000,1,0
370,2.0000,1,0
375,4.0000,1,0
376,1.0000,1,0
379,2.6667,3,1.699673171197595
384,2.0000,1,0
385,4.0000,1,0
386,5.0000,1,0
389,2.0000,1,0
390,3.0000,1,0
393,3.0000,1,0
397,4.5000,2,0.5
399,5.0000,1,0
400,4.0000,2,0
401,4.0000,1,0
402,2.0000,1,0
403,5.0000,1,0
405,4.0000,1,0
407,2.0000,2,0
411,5.0000,1,0
413,1.0000,1,0
414,2.5000,4,1.118033988749895
415,3.0000,1,0
419,5.0000,1,0
420,5.0000,1,0
421,5.0000,1,0
422,5.0000,1,0
423,1.0000,1,0
426,4.0000,1,0
432,4.0000,1,0
434,2.0000,1,0
437,4.0000,1,0
439,2.0000,1,0
442,3.5000,2,1.5
443,3.0000,1,0
448,4.0000,2,1
454,3.0000,1,0
455,5.0000,1,0
457,2.0000,1,0
458,3.0000,1,0
459,2.5000,2,0.5
462,4.0000,1,0
463,2.0000,1,0
466,5.0000,1,0
467,2.0000,2,0
468,1.0000,1,0
470,3.5000,2,1.5
472,2.0000,1,0
475,2.0000,1,0
479,2.0000,1,0
483,3.0000,2,1
484,3.0000,1,0
485,1.0000,1,0
487,1.0000,1,0
488,5.0000,1,0
493,2.0000,1,0
500,1.0000,1,0
503,2.0000,1,0
